iter	Passed	Remaining
0	154	154070
1	155	77732
2	157	52198
3	158	39412
4	159	31744
5	160	26656
6	162	23002
7	163	20259
8	164	18124
9	165	16431
10	167	15035
11	168	13874
12	169	12883
13	171	12053
14	172	11344
15	174	10709
16	175	10163
17	178	9764
18	180	9331
19	182	8925
20	183	8549
21	184	8203
22	186	7903
23	188	7664
24	191	7454
25	193	7252
26	195	7032
27	199	6929
28	203	6825
29	205	6646
30	208	6521
31	210	6356
32	211	6207
33	213	6058
34	215	5928
35	217	5813
36	218	5689
37	219	5565
38	221	5454
39	222	5341
40	223	5233
41	225	5139
42	226	5049
43	228	4962
44	230	4890
45	232	4811
46	233	4737
47	235	4662
48	236	4587
49	237	4513
50	238	4446
51	240	4381
52	241	4319
53	243	4264
54	244	4208
55	246	4148
56	247	4092
57	248	4038
58	250	3990
59	251	3939
60	252	3890
61	254	3844
62	255	3800
63	256	3757
64	258	3721
65	260	3684
66	261	3644
67	262	3596
68	263	3558
69	264	3520
70	266	3484
71	267	3452
72	269	3419
73	270	3385
74	272	3356
75	283	3447
76	284	3415
77	286	3382
78	287	3353
79	289	3326
80	290	3298
81	291	3268
82	292	3235
83	293	3205
84	294	3172
85	296	3145
86	296	3114
87	297	3086
88	298	3059
89	300	3033
90	301	3008
91	302	2987
92	303	2964
93	305	2942
94	306	2920
95	307	2899
96	309	2879
97	310	2857
98	311	2836
99	312	2815
100	314	2796
101	314	2771
102	315	2751
103	317	2735
104	318	2716
105	319	2696
106	321	2679
107	322	2660
108	323	2644
109	324	2629
110	327	2619
111	328	2606
112	330	2592
113	333	2589
114	335	2578
115	336	2562
116	338	2550
117	340	2542
118	341	2528
119	342	2513
120	344	2502
121	346	2491
122	346	2473
123	348	2461
124	349	2448
125	351	2435
126	352	2423
127	353	2407
128	354	2394
129	356	2382
130	357	2370
131	358	2359
132	360	2350
133	361	2339
134	363	2327
135	364	2315
136	365	2302
137	366	2289
138	367	2279
139	369	2269
140	370	2259
141	372	2248
142	373	2237
143	375	2230
144	376	2220
145	377	2209
146	379	2199
147	380	2189
148	381	2179
149	382	2170
150	384	2160
151	385	2151
152	386	2141
153	388	2133
154	390	2126
155	391	2117
156	392	2107
157	393	2099
158	395	2090
159	396	2082
160	398	2074
161	399	2066
162	400	2058
163	402	2052
164	404	2048
165	406	2041
166	407	2032
167	408	2023
168	409	2015
169	411	2007
170	412	1999
171	413	1991
172	415	1984
173	416	1976
174	418	1972
175	419	1965
176	421	1958
177	422	1950
178	423	1942
179	425	1936
180	425	1926
181	427	1921
182	428	1913
183	430	1908
184	431	1901
185	433	1897
186	434	1890
187	435	1882
188	437	1875
189	438	1868
190	439	1861
191	440	1855
192	442	1849
193	443	1842
194	444	1836
195	446	1831
196	448	1828
197	449	1821
198	450	1815
199	452	1809
200	453	1803
201	455	1797
202	456	1790
203	457	1783
204	458	1777
205	460	1773
206	461	1769
207	465	1772
208	467	1770
209	472	1777
210	474	1776
211	476	1772
212	480	1775
213	482	1771
214	484	1769
215	486	1765
216	487	1760
217	489	1754
218	490	1749
219	492	1744
220	493	1740
221	494	1734
222	496	1729
223	497	1724
224	499	1720
225	501	1716
226	503	1712
227	505	1710
228	506	1705
229	508	1701
230	509	1696
231	511	1692
232	512	1687
233	514	1682
234	515	1678
235	516	1673
236	518	1668
237	520	1666
238	522	1662
239	523	1657
240	524	1652
241	526	1649
242	528	1646
243	530	1643
244	531	1638
245	533	1634
246	535	1631
247	536	1626
248	537	1622
249	539	1618
250	540	1614
251	542	1608
252	543	1604
253	544	1600
254	546	1596
255	548	1592
256	551	1594
257	555	1596
258	557	1594
259	559	1591
260	561	1589
261	563	1586
262	565	1584
263	567	1583
264	569	1578
265	576	1590
266	578	1589
267	581	1587
268	583	1584
269	585	1583
270	587	1580
271	593	1587
272	595	1585
273	597	1584
274	599	1580
275	602	1579
276	604	1577
277	606	1576
278	610	1576
279	611	1573
280	614	1573
281	616	1569
282	622	1576
283	627	1582
284	629	1579
285	631	1576
286	632	1572
287	636	1574
288	640	1576
289	644	1576
290	646	1575
291	647	1571
292	649	1566
293	650	1562
294	651	1557
295	654	1556
296	656	1554
297	658	1550
298	660	1548
299	661	1543
300	662	1539
301	664	1535
302	665	1531
303	667	1527
304	669	1526
305	671	1522
306	673	1520
307	674	1516
308	676	1512
309	677	1508
310	679	1504
311	680	1500
312	682	1497
313	683	1493
314	685	1489
315	687	1487
316	688	1483
317	689	1479
318	691	1475
319	692	1471
320	693	1467
321	695	1464
322	713	1494
323	715	1493
324	716	1489
325	718	1485
326	719	1481
327	721	1477
328	722	1473
329	723	1468
330	724	1464
331	726	1461
332	728	1458
333	729	1455
334	731	1451
335	732	1447
336	733	1443
337	735	1439
338	736	1435
339	737	1432
340	739	1428
341	740	1425
342	742	1422
343	744	1419
344	745	1415
345	746	1411
346	748	1408
347	749	1404
348	751	1401
349	752	1397
350	753	1393
351	755	1389
352	756	1386
353	758	1383
354	759	1380
355	761	1376
356	762	1373
357	763	1369
358	764	1365
359	766	1362
360	767	1358
361	769	1356
362	774	1358
363	776	1356
364	778	1354
365	780	1351
366	782	1349
367	785	1348
368	788	1347
369	790	1345
370	792	1342
371	793	1339
372	794	1335
373	795	1331
374	797	1328
375	798	1325
376	800	1322
377	801	1319
378	803	1316
379	804	1312
380	805	1308
381	806	1305
382	808	1301
383	809	1298
384	811	1295
385	812	1292
386	813	1289
387	815	1286
388	817	1283
389	818	1280
390	819	1277
391	821	1273
392	822	1270
393	824	1267
394	825	1264
395	826	1260
396	827	1257
397	829	1255
398	831	1251
399	832	1248
400	833	1245
401	835	1242
402	836	1239
403	838	1236
404	839	1233
405	840	1230
406	842	1227
407	843	1224
408	845	1221
409	846	1218
410	848	1215
411	849	1212
412	850	1209
413	852	1206
414	853	1203
415	854	1200
416	856	1197
417	857	1193
418	859	1191
419	861	1189
420	862	1186
421	863	1183
422	865	1180
423	866	1177
424	867	1174
425	869	1171
426	870	1168
427	871	1165
428	873	1162
429	875	1160
430	876	1157
431	878	1154
432	879	1151
433	880	1148
434	881	1145
435	883	1142
436	884	1139
437	885	1136
438	888	1134
439	889	1132
440	891	1129
441	892	1126
442	894	1124
443	895	1121
444	896	1118
445	898	1115
446	899	1113
447	901	1110
448	902	1107
449	903	1104
450	905	1102
451	907	1100
452	910	1098
453	912	1097
454	915	1096
455	917	1093
456	918	1091
457	920	1089
458	923	1088
459	925	1086
460	927	1084
461	928	1081
462	930	1078
463	931	1076
464	932	1073
465	934	1070
466	935	1067
467	936	1065
468	938	1062
469	939	1059
470	941	1056
471	942	1054
472	943	1051
473	944	1048
474	946	1046
475	948	1043
476	949	1041
477	950	1038
478	951	1035
479	953	1032
480	954	1030
481	956	1027
482	957	1024
483	959	1022
484	960	1019
485	961	1017
486	963	1014
487	964	1012
488	966	1009
489	967	1007
490	968	1004
491	970	1001
492	971	999
493	973	996
494	974	994
495	976	991
496	977	989
497	978	986
498	979	983
499	981	981
500	982	978
501	983	975
502	985	973
503	986	970
504	988	968
505	989	966
506	991	963
507	992	961
508	993	958
509	995	956
510	996	953
511	997	951
512	999	948
513	1001	946
514	1002	943
515	1003	941
516	1005	939
517	1006	936
518	1008	934
519	1009	931
520	1010	929
521	1012	926
522	1013	924
523	1014	921
524	1016	919
525	1017	917
526	1019	915
527	1020	912
528	1022	910
529	1023	907
530	1024	905
531	1026	902
532	1027	900
533	1028	897
534	1030	895
535	1031	893
536	1033	890
537	1034	888
538	1036	886
539	1037	883
540	1039	881
541	1040	879
542	1042	877
543	1043	874
