iter	Passed	Remaining
0	161	161672
1	163	81487
2	165	54947
3	166	41513
4	168	33483
5	169	28151
6	171	24292
7	172	21419
8	173	19143
9	174	17314
10	176	15831
11	177	14589
12	178	13540
13	179	12639
14	181	11889
15	183	11276
16	184	10683
17	185	10141
18	187	9655
19	188	9226
20	189	8841
21	191	8508
22	193	8227
23	195	7931
24	197	7694
25	198	7448
26	200	7209
27	201	6993
28	202	6777
29	204	6598
30	205	6417
31	206	6243
32	207	6090
33	209	5950
34	211	5830
35	212	5696
36	213	5566
37	215	5444
38	216	5335
39	219	5266
40	220	5162
41	222	5082
42	224	5000
43	226	4916
44	228	4844
45	229	4768
46	231	4694
47	232	4620
48	234	4552
49	237	4504
50	238	4438
51	240	4386
52	243	4349
53	244	4290
54	247	4254
55	249	4204
56	251	4164
57	253	4112
58	254	4055
59	255	4002
60	256	3949
61	257	3898
62	258	3849
63	260	3803
64	261	3759
65	262	3715
66	263	3672
67	264	3631
68	266	3601
69	267	3560
70	269	3522
71	270	3487
72	271	3451
73	273	3416
74	274	3383
75	275	3349
76	276	3316
77	277	3283
78	279	3253
79	281	3231
80	282	3202
81	283	3174
82	284	3138
83	285	3112
84	286	3087
85	288	3065
86	290	3044
87	291	3022
88	293	3001
89	295	2992
90	297	2969
91	298	2946
92	299	2922
93	300	2900
94	302	2882
95	304	2863
96	305	2841
97	306	2823
98	307	2802
99	310	2790
100	311	2769
101	312	2749
102	313	2729
103	314	2710
104	315	2690
105	316	2672
106	318	2656
107	319	2639
108	320	2621
109	322	2605
110	324	2597
111	325	2580
112	326	2564
113	327	2548
114	329	2533
115	330	2518
116	331	2502
117	332	2486
118	333	2472
119	335	2458
120	336	2444
121	337	2431
122	339	2418
123	340	2406
124	341	2391
125	342	2378
126	343	2364
127	345	2350
128	346	2339
129	347	2327
130	349	2315
131	350	2303
132	352	2295
133	353	2285
134	354	2274
135	356	2264
136	358	2256
137	360	2249
138	361	2240
139	363	2230
140	364	2219
141	365	2206
142	366	2199
143	369	2194
144	370	2185
145	372	2178
146	374	2174
147	376	2164
148	377	2158
149	379	2153
150	381	2144
151	382	2135
152	399	2212
153	401	2203
154	402	2193
155	403	2182
156	404	2172
157	405	2161
158	406	2152
159	408	2142
160	408	2130
161	409	2120
162	411	2111
163	412	2104
164	413	2094
165	415	2085
166	416	2076
167	417	2067
168	418	2058
169	419	2049
170	420	2039
171	421	2030
172	422	2021
173	424	2013
174	425	2005
175	427	1999
176	428	1990
177	428	1980
178	429	1971
179	430	1963
180	432	1955
181	433	1949
182	435	1942
183	435	1933
184	436	1924
185	437	1916
186	439	1909
187	441	1906
188	442	1899
189	443	1891
190	444	1883
191	445	1876
192	446	1868
193	447	1861
194	449	1853
195	450	1846
196	451	1839
197	452	1832
198	453	1825
199	454	1819
200	456	1816
201	458	1809
202	459	1803
203	460	1796
204	461	1790
205	463	1784
206	464	1778
207	465	1772
208	466	1767
209	468	1762
210	470	1758
211	471	1753
212	473	1748
213	474	1742
214	475	1736
215	477	1731
216	478	1726
217	479	1721
218	481	1717
219	482	1712
220	484	1707
221	485	1702
222	487	1699
223	489	1695
224	490	1689
225	491	1682
226	492	1676
227	493	1671
228	495	1666
229	496	1661
230	498	1660
231	500	1655
232	501	1651
233	503	1646
234	504	1642
235	505	1637
236	507	1632
237	508	1628
238	509	1623
239	511	1618
240	514	1621
241	517	1620
242	518	1616
243	520	1614
244	523	1613
245	525	1609
246	526	1605
247	528	1604
248	530	1599
249	531	1594
250	532	1589
251	533	1584
252	534	1579
253	536	1574
254	537	1569
255	538	1565
256	539	1560
257	541	1557
258	543	1554
259	544	1550
260	546	1546
261	547	1541
262	549	1539
263	552	1540
264	554	1536
265	555	1532
266	557	1529
267	558	1525
268	560	1522
269	561	1518
270	562	1514
271	564	1510
272	565	1506
273	566	1502
274	568	1497
275	569	1494
276	571	1491
277	572	1487
278	573	1482
279	575	1478
280	576	1474
281	577	1470
282	578	1465
283	579	1461
284	581	1458
285	582	1453
286	583	1449
287	584	1446
288	586	1442
289	587	1438
290	588	1433
291	589	1429
292	590	1425
293	592	1421
294	593	1418
295	594	1414
296	595	1410
297	597	1406
298	598	1403
299	600	1400
300	601	1396
301	602	1393
302	604	1390
303	605	1386
304	606	1382
305	607	1378
306	609	1374
307	610	1372
308	611	1368
309	613	1365
310	614	1362
311	616	1359
312	618	1357
313	619	1353
314	621	1351
315	623	1350
316	625	1347
317	626	1343
318	628	1340
319	629	1338
320	630	1334
321	632	1331
322	633	1328
323	635	1325
324	636	1322
325	638	1319
326	639	1315
327	640	1312
328	643	1312
329	644	1309
330	646	1306
331	647	1303
332	649	1300
333	650	1297
334	652	1296
335	654	1294
336	659	1297
337	660	1294
338	662	1291
339	663	1288
340	665	1285
341	667	1283
342	668	1280
343	671	1280
344	674	1280
345	676	1278
346	678	1276
347	679	1273
348	680	1269
349	681	1266
350	682	1262
351	684	1259
352	686	1257
353	687	1254
354	688	1250
355	689	1247
356	690	1244
357	692	1241
358	693	1238
359	694	1235
360	696	1232
361	697	1229
362	699	1226
363	700	1223
364	701	1220
365	702	1217
366	704	1214
367	705	1211
368	706	1208
369	707	1205
370	709	1202
371	710	1199
372	711	1196
373	713	1193
374	714	1190
375	715	1187
376	716	1184
377	717	1181
378	718	1177
379	720	1174
380	721	1172
381	722	1169
382	723	1166
383	725	1163
384	726	1160
385	728	1158
386	729	1155
387	730	1152
388	731	1149
389	732	1146
390	734	1143
391	735	1140
392	736	1137
393	737	1134
394	739	1132
395	740	1128
396	741	1126
397	743	1124
398	744	1121
399	746	1119
400	747	1116
401	748	1113
402	750	1111
403	751	1108
404	753	1107
405	754	1104
406	756	1101
407	757	1099
408	758	1096
409	760	1093
410	761	1091
411	762	1088
412	763	1085
413	765	1082
414	766	1081
415	768	1079
416	770	1077
417	772	1076
418	774	1074
419	776	1072
420	778	1070
421	779	1068
422	781	1066
423	783	1064
424	785	1062
425	787	1060
426	788	1058
427	791	1057
428	793	1055
429	795	1054
430	797	1053
431	800	1051
432	801	1050
433	806	1051
434	808	1049
435	809	1047
436	811	1045
437	813	1043
438	814	1041
439	818	1042
440	820	1040
441	822	1038
442	824	1036
443	825	1034
444	827	1032
445	830	1031
446	831	1028
447	833	1027
448	835	1025
449	837	1023
450	838	1021
451	840	1019
452	842	1017
453	845	1016
454	847	1014
455	848	1012
456	850	1009
457	851	1007
458	853	1005
459	854	1003
460	856	1000
461	857	999
462	859	997
463	861	994
464	862	992
465	863	989
466	865	987
467	867	985
468	868	983
469	870	981
470	872	980
471	874	977
472	876	976
473	878	974
474	880	972
475	881	970
476	884	969
477	886	967
478	888	965
479	889	963
480	892	962
481	894	960
482	895	958
483	897	956
484	898	954
485	901	953
486	903	952
487	905	950
488	907	948
489	909	946
490	911	944
491	912	942
492	915	941
493	917	939
494	918	937
495	920	935
496	921	932
497	923	930
498	924	928
499	925	925
500	927	923
501	929	921
502	931	920
503	934	920
504	936	918
505	938	916
506	940	914
507	942	912
508	946	912
509	949	911
510	951	910
511	953	908
512	954	906
513	957	905
514	959	903
515	961	902
516	964	901
517	967	900
518	969	898
519	975	900
520	978	899
521	982	899
522	987	900
523	988	898
524	993	898
525	998	899
526	1001	898
527	1003	897
528	1006	895
529	1007	893
530	1009	891
531	1011	889
532	1013	888
533	1015	886
534	1017	884
535	1019	882
536	1020	880
537	1022	877
538	1023	875
539	1025	873
540	1026	871
541	1028	868
542	1030	866
543	1032	865
544	1036	865
545	1038	863
546	1039	861
547	1041	858
548	1042	856
549	1044	854
550	1045	852
551	1046	849
552	1048	847
553	1049	844
554	1050	842
555	1051	839
556	1053	837
557	1054	835
558	1055	832
559	1057	830
560	1059	828
561	1060	826
562	1062	824
563	1063	822
564	1065	820
565	1066	818
566	1068	815
567	1069	813
568	1073	813
569	1075	811
570	1077	809
571	1078	807
572	1080	804
573	1082	803
574	1084	801
575	1090	802
576	1093	801
577	1094	799
578	1096	797
579	1101	797
580	1103	795
581	1105	793
582	1106	791
583	1107	789
584	1108	786
585	1110	784
586	1111	782
587	1112	779
588	1114	777
589	1118	776
590	1120	775
591	1121	773
592	1123	770
593	1124	768
594	1125	766
595	1127	764
596	1128	761
597	1130	759
598	1132	758
599	1134	756
600	1138	755
601	1140	753
602	1142	752
603	1153	756
604	1154	754
605	1156	752
606	1158	750
607	1161	748
608	1163	747
609	1165	745
610	1167	743
611	1169	741
612	1170	738
613	1172	736
614	1173	734
615	1176	733
616	1179	732
617	1184	732
618	1186	730
619	1187	727
620	1188	725
621	1191	723
622	1193	721
623	1194	719
624	1195	717
625	1196	715
626	1198	712
627	1199	710
628	1200	708
629	1201	705
630	1203	703
631	1205	701
632	1207	699
633	1208	697
634	1209	695
635	1210	692
636	1211	690
637	1212	688
638	1213	685
639	1214	683
640	1216	681
641	1217	678
642	1218	676
643	1220	674
644	1221	672
645	1222	670
646	1223	667
647	1225	665
648	1226	663
649	1227	661
650	1229	658
651	1230	656
652	1231	654
653	1232	652
654	1234	650
655	1235	648
656	1236	645
657	1238	643
658	1239	641
659	1240	639
660	1242	637
661	1243	634
662	1244	632
663	1245	630
664	1247	628
665	1248	626
666	1249	623
667	1250	621
668	1252	619
669	1253	617
670	1254	614
671	1255	612
672	1256	610
673	1257	608
674	1258	606
675	1259	603
676	1261	601
677	1262	599
678	1264	597
679	1265	595
680	1266	593
681	1267	591
682	1269	589
683	1270	586
684	1271	584
685	1272	582
686	1273	580
687	1275	578
688	1276	576
689	1278	574
690	1279	572
691	1280	569
692	1281	567
693	1283	565
694	1284	563
695	1285	561
696	1286	559
697	1287	557
698	1288	554
699	1289	552
700	1291	550
701	1292	548
702	1293	546
703	1295	544
704	1296	542
705	1297	540
706	1298	538
707	1300	536
708	1301	534
709	1302	532
710	1304	530
711	1306	528
712	1308	526
713	1310	524
714	1311	522
715	1313	521
716	1315	519
717	1317	517
718	1320	515
719	1322	514
720	1323	512
721	1325	510
722	1328	508
723	1329	507
724	1331	505
725	1333	503
726	1334	501
727	1335	499
728	1336	496
729	1338	494
730	1339	492
731	1340	490
732	1341	488
733	1342	486
734	1343	484
735	1344	482
736	1345	480
737	1346	478
738	1348	476
739	1349	474
740	1350	472
741	1351	470
742	1352	467
743	1353	465
744	1355	463
745	1356	461
746	1357	459
747	1358	457
748	1359	455
749	1360	453
750	1362	451
751	1363	449
752	1364	447
753	1366	445
754	1367	443
755	1368	441
756	1369	439
757	1370	437
758	1371	435
759	1372	433
760	1373	431
761	1374	429
762	1375	427
763	1376	425
764	1378	423
765	1379	421
766	1380	419
767	1382	417
768	1383	415
769	1384	413
770	1385	411
771	1387	409
772	1388	407
773	1390	405
774	1391	403
775	1393	402
776	1395	400
777	1396	398
778	1397	396
779	1398	394
780	1399	392
781	1401	390
782	1402	388
783	1403	386
784	1405	384
785	1407	383
786	1408	381
787	1410	379
788	1411	377
789	1412	375
790	1414	373
791	1415	371
792	1416	369
793	1418	367
794	1419	365
795	1421	364
796	1422	362
797	1424	360
798	1426	358
799	1427	356
800	1428	354
801	1429	352
802	1432	351
803	1434	349
804	1436	348
805	1439	346
806	1441	344
807	1442	342
808	1443	340
809	1445	339
810	1446	337
811	1447	335
